48157685,18,0
48213230,79,0
48266770,340,1
48391026,255,1
48493857,188,2
48843127,10,0
49032817,4,0
49174156,1334,1
49317402,480,3
49616273,3054,1
49864394,93,0
50162345,102,1
50313356,32,0
50358192,1,0
50370944,84,1
50374439,311,0
50421964,329,0
51029152,84,1
51077460,683,3
51310666,260,1
51412385,1550,2
51552352,592,2
51814223,238,2
52320357,153,1
52722451,5,0
52915061,164,1
52934222,364,1
54435171,156,1
54520383,228,1
54860570,2,0
54996004,3,0
55109714,1034,1
55262663,1,0
55793779,5,0
55815772,826,2
56058169,403,3
56069275,705,6
56117376,22,0
56311337,1477,5
56457551,31,0
57333475,29,0
57456463,6,0
57765452,505,1
58367569,640,2
58418527,404,1
59340890,63,1
59532459,362,1
59567259,24,0
59706758,23,0
59867393,19,0
59990072,218,1
60280313,300,1
60463666,558,1
60604718,152,1
60670150,84,0
60937837,1133,2
60961547,248,2
61477878,144,2
62154340,13,0
62658696,25,1
62922891,6,0
62958680,23,1
63092503,42,0
63160617,496,1
63784543,186,0
64005003,195,2
64023992,570,1
64156661,574,4
64806914,291,5
65111116,271,4
65490000,259,1
65499130,127,2
66680890,44,2
66831723,36,0
67179017,8,0
67221213,11,0
67342388,83,0
67660441,2,0
68071940,78,0
68159960,36,2
68845292,189,2
68923623,962,1
68939659,361,1
69280119,235,4
69514692,13,0
70068025,59,1
70241707,23,0
70465793,439,1
70693814,12,0
70806392,15,0
71217206,26,0
71376686,7,1
71730896,45,1
71957216,2,0
72248880,6,0
72278618,12,0
72830771,131,1
72873000,317,1
72882382,13,0
73412251,29,1
73539583,2,0
73570289,4,0
73579678,10,0
73962817,357,3
74416825,310,4
74428839,758,1
74582881,2045,1
74756085,19,0
74884181,7,0
74985520,100,0
75096377,9,0
75375144,33,0
75509967,1255,1
75600218,525,1
75734769,1400,1
75804059,119,1
75984587,27,0
76088793,500,2
76298746,7,0
76358574,163,5
76819234,71,0
77010227,487,1
77201343,70,1
77214557,48,2
77311914,487,0
77472733,53,0
77718403,10,0
78083581,41,0
78217957,373,2
78401174,14,0
78703855,112,0
78899584,111,1
78906244,152,2
79124819,216,4
79197327,1004,0
79563065,12,0
79591455,47,0
79973260,36,0
80464254,41,0
80566984,100,3
81226611,24,0
81480259,11,0
81583186,147,1
82072785,13,0
82492582,1,0
82647638,107,1
82684465,93,0
82769061,173,1
82883872,42,0
83283741,2,0
83437244,980,1
83804699,374,2
83811488,87,1
84278776,254,4
84855408,107,1
84986389,14,0
85040442,27,0
85301625,548,3
85818226,292,2
85975151,904,2
86015803,1,0
86444966,179,0
86500581,59,0
86798117,12,1
87017136,8,0
87089152,3,0
87126078,713,1
87238412,6,0
87429667,999,8
87603897,784,2
87659574,6,0
88111898,81,4
88368348,331,1
88493678,137,0
88831793,572,2
88861017,948,2
88880205,18,0
